男人=男人，男人，女人，女人，人 PERSON
港口授权人 [~GOV]
邮政部门 [~GOV]
邮电部部长 [~GOVMED]
权贵 [~GOV]
电力部长 [~GOV]
前庭 [~GOV]
总理 [~GOV]
总统助理 [~GOV]
总统府 [~GOV]
总统 [~GOV]
主席团 [~GOV]
首相 [~GOV]
总理 [~GOV]
王子 [~GOV]
私有化委员会 [~GOVBUS]
私隐委员会 [~GOVBUS]
枢密院 [~GOV]
边境地区和民族发展事务部长的进展 [~GOV]
检察长 [~GOVJUD]
礼宾部 [~GOV]
省级办公室 [~GOV]
省级官员 [~GOV]
临时政府 [~GOV]
公共卫生主管 [~GOVHLH]
公共关系官 [~GOV]
公共部门 [~GOV]
公共服务委员会 [~GOVDEV]
公共工程部长 [~GOV]
铁路运输部长 [~GOVMED]
政体 [~GOV]
地区总监 [~GOV]
区域代表 [~GOV]
监管机构 [~GOV]
调节器 [~GOV]
宗教事务局 [~GOVREL]
宗教事务部长 [~GOVREL]
议会代表 [~GOV]
联合国代表 [~GOV]
储备银行 [~GOVBUS]
储备银行行长 [~GOVBUS]
皇家行政 [~GOV]
皇家咨询 [~GOV]
皇家联合政府 [~GOV]
皇家政府 [~GOV]
皇宫 [~GOV]
尺子 [~GOV]
执政联盟 [~GOVPTY]
执政联盟 [~GOV]
统治派系 [~GOV]
执政将军 [~GOVMIL]
执政君主 [~GOV]
执政的军事政府 [~GOVMIL]
执政党 [~GOV]
执政党议员 [~GOV]
执政党参议员 [~GOV]
科学和信息技术部长 [~GOV]
科学和IT部长 [~GOV]
秘书处 [~GOV]
农业部长 [~GOVAGR]
文秘 [~GOV]
商务部长 [~GOV]
国防部长 [~GOVMIL]
教育部长 [~GOVEDU]
能源部长 [~GOV]
劳工部长 [~GOVLAB]
劳工部长 [~GOVLAB]
安全理事会秘书长 [~GOV]
国务卿 [~GOV]
经济部长 [~GOV]
内政部长 [~GOV]
财政部长 [~GOV]
证券交易委员会 [~GOVBUS]
安全理事会 [~GOV]
半官方的 [~GOV]
航运部长 [~GOV]
社会福利部长 [~GOVHLH]
唯一政党 [~GOV]
总检察长 [~GOV]
主权的 [~GOV]
航天局 [~GOV]
部落特别事务部 [~GOV]
特别委员会 [~GOV]
特使 [~GOV]
国有的 [~GOVBUS]
国有媒体 [~GOVMED]
国有通讯社 [~GOVMED]
国有电视台 [~GOVMED]
州检察长 [~GOV]
国家审计长 [~GOV]
国家委员会 [~GOV]
国务委员 [~GOV]
国务院法制 [~GOV]
国务院法制秘书长 [~GOV]
国务院发展委员会 [~GOVDEV]
国家综合医院 [~GOVHLH]
州州长 [~GOV]
公立医院 [~GOVHLH]
国家领导人 [~GOV]
国家媒体 [~GOVMED]
国务部长 [~GOV]
国家通讯社 [~GOVMED]
国务官员 [~GOV]
国有企业 [~GOVBUS]
国有工业单位 [~GOVBUS]
国有保险企业 [~GOVBUS]
国家规划部长 [~GOVDEV]
国家检察长 [~GOVJUD]
国家电视台 [~GOVMED]
国有媒体 [~GOVMED]
国营电视 [~GOVMED]
国务秘书 [~GOV]
国务院 [~GOV]
下级领导 [~GOV]
分区负责人 [~GOV]
最高领袖 [~GOV]
技术部长 [~GOV]
电信部长 [~GOVMED]
电信板 [~GOVMED]
电信部长 [~GOVMED]
纺织部长 [~GOV]
PM [~GOV]
王位理事会 [~GOV]
旅游部 [~GOV]
旅游部部长 [~GOV]
旅游局 [~GOV]
贸易和商务部长 [~GOV]
贸易代表团 [~GOVBUS]
贸易部长 [~GOV]
贸易官员 [~GOVBUS]
交通部长 [~GOVMED]
交通运输部长 [~GOVMED]
运输当局 [~GOV]
交通部长 [~GOVMED]
财政部长 [~GOV]
财政部长 [~GOV]
财政部长 [~GOV]
暴君 [~GOV]
副部长 [~GOV]
统一部长 [~GOV]
外交部副部长 [~GOV]
水利和防洪部长 [~GOV]
水利部长 [~GOV]
水利和防洪部长 [~GOV]
水利部长 [~GOV]
福利部长 [~GOVHLH]
妇女儿童事务部长 [~GOV]
青年体育部长 [~GOV]
印度教教徒 [~HIN]
印度教牧师 [~HIN]
印度教神职人员 [~HIN]
印度强硬派 [~HINRAD]
印度教传教士 [~HIN]
印度教修道院 [~HIN]
印度教和尚 [~HIN]
印度教朝圣者 [~HIN]
印度神父 [~HIN]
卡尼杜古 [~HIN]
萨杜 [~HIN]
人权中心 [~HRI]
人权中心 [~HRI]
人权活动家 [~HRI]
权利团体 [~HRI]
人权组织 [~HRI]
人权领袖 [~HRI]
人权协会 [~HRI]
媒体权限组 [~HRI]
麻醉师 [~HLH]
麻醉师 [~HLH]
心脏病学家 [~HLH]
照顾者 [~HLH]
个案工作者 [~HLH]
牙医 [~HLH]
文件 [~HLH]
医生 [~HLH]
饲养员 [~HLH]
胃肠病学家 [~HLH]
全科医生 [~HLH]
研究生护士 [~HLH]
妇科医生 [~HLH]
医疗设施 [~HLH]
医疗保健提供者 [~HLH]
卫生设施 [~HLH]
卫生专业人员 [~HLH]
医院 [~HLH]
住院医师 [~HLH]
医务室 [~HLH]
内科医师 [~HLH]
医学博士 [~HLH]
医务人员 [~HLH]
医学协会 [~HLH]
医疗大楼 [~HLH]
医疗机构 [~HLH]
医务人员 [~HLH]
医生 [~HLH]
医务社会工作者 [~HLH]
医学专家 [~HLH]
医学的 [~HLH]
精神病院 [~HLH]
助产士 [~HLH]
保姆 [~HLH]
神经科医师 [~HLH]
神经外科医生 [~HLH]
护士 [~HLH]
保姆 [~HLH]
护士麻醉师 [~HLH]
执业护士 [~HLH]
肿瘤学家 [~HLH]
手术外科医生 [~HLH]
验光师 [~HLH]
骨科医生 [~HLH]
骨科医师 [~HLH]
儿科医生 [~HLH]
制药公司 [~HLH]
内科医生 [~HLH]
足科医师 [~HLH]
主要健康提供者 [~HLH]
精神病医生 [~HLH]
注册护士 [~HLH]
住院医师 [~HLH]
疗养院 [~HLH]
疗养院 [~HLH]
疗养院 [~HLH]
社会工作者 [~HLH]
外科医生 [~HLH]
廷宁主义者 [~HLH]
受过训练的护士 [~HLH]
泌尿科医师 [~HLH]
福利工作者 [~HLH]
共产主义叛乱 [~REB]
政变领导人 [~REB]
政变领袖 [~REB]
政变者 [~REB]
政变绘图仪 [~REB]
国际恐怖分子 [~IMG]
军事政变领导人 [~MIL]
军事政变领导人 [~MIL]
康托尔 [~JEW]
哈西德 [~JEW]
哈西迪 [~JEW]
希伯来语 [~JEW]
犹太人 [~JEW]
犹太人的 [~JEW]
正统犹太人 [~JEW]
拉比 [~JEW]
律法学者 [~JEW]
审判法院 [~JUD]
提倡 [~JUD]
反贪污法庭 [~JUD]
反恐法院 [~JUD]
反恐法庭 [~JUD]
上诉法院 [~JUD]
上诉法院 [~JUD]
助理司法 [~JUD]
律师 [~JUD]
司法部长 [~JUD]
大律师 [~JUD]
衡平法院 [~JUD]
首席法院法官 [~JUD]
首席法官 [~JUD]
最高法院首席法官 [~JUD]
巡回上诉法院 [~JUD]
民事法庭 [~JUD]
宗教法庭 [~JUD]
宪法委员会 [~JUD]
宪法法院 [~JUD]
运送者 [~JUD]
法官委员会 [~JUD]
法律顾问 [~JUD]
辅导员 [~JUD]
辅导员 [~JUD]
忠告 [~JUD]
法院法官 [~JUD]
法院审判 [~JUD]
宫廷官员 [~JUD]
上诉法院 [~JUD]
大法官法庭 [~JUD]
最高法院 [~JUD]
法庭 [~JUD]
刑事律师 [~JUD]
辩护律师 [~JUD]
辩护律师 [~JUD]
地区法院 [~JUD]
联邦法院 [~JUD]
联邦法官 [~JUD]
联邦司法部 [~JUD]
联邦最高法院 [~JUD]
高等法院 [~JUD]
法官 [~JUD]
司法的 [~JUD]
司法 [~JUD]
司法部门 [~JUD]
司法制度 [~JUD]
司法机关 [~JUD]
和平正义 [~JUD]
司法制度 [~JUD]
律师 [~JUD]
治安法官 [~JUD]
市级法院 [~JUD]
国家法院 [~JUD]
辩护人 [~JUD]
检察院 [~JUD]
检察官 [~JUD]
检察官 [~JUD]
检察官 [~JUD]
公共辩护人 [~JUD]
公诉人 [~JUD]
宗教法庭 [~JUDREL]
宫廷 [~JUD]
伊斯兰法庭 [~JUDMUS]
伊斯兰法庭 [~JUDMUS]
特别法庭 [~JUD]
州最高法院 [~JUD]
吝啬鬼 [~JUD]
助学金裁判官 [~JUD]
高等法院 [~JUD]
最高法院 [~JUD]
最高人民法院 [~JUD]
审判律师 [~JUD]
审判律师 [~JUD]
法庭 [~JUD]
法庭 [~JUD]
公司工会 [~LAB]
员工 [~LAB]
劳动者 [~LAB]
工会 [~LAB]
劳工活动家 [~LAB]
有组织的劳动 [~LAB]
工作人员 [~LAB]
罢工工人 [~LAB]
行业工会 [~LAB]
工会 [~LAB]
运输工人 [~LAB]
运输工人 [~LAB]
工会代表 [~LAB]
工人 [~LAB]
工人行动委员会 [~LAB]
工人联合会 [~LAB]
工人行动委员会 [~LAB]
工人联合会 [~LAB]
工人组织 [~LAB]
工人组织 [~LAB]
集合 [~LEG]
组件 [~LEG]
装配联邦 [~LEG]
室 [~LEG]
众议院 [~LEG]
国会议员 [~LEG]
国会 [~LEG]
保守联盟 [~LEG]
工会理事会 [~LEG]
代表 [~LEG]
参议院代表团 [~LEG]
当选机构 [~LEG]
联邦执行委员会 [~LEG]
联邦立法委员会 [~LEG]
联邦国家委员会 [~LEG]
联合会理事会 [~LEG]
大会 [~LEG]
众议院 [~LEG]
下议院 [~LEG]
参议院 [~LEG]
众议院 [~LEG]
众议院议长 [~LEG]
立法者 [~LEG]
立法者 [~LEG]
议会领袖 [~LEG]
左翼联盟 [~LEG]
立法会 [~LEG]
立法机构 [~LEG]
立法会 [~LEG]
立法会 [~LEG]
立法者 [~LEG]
立法机关 [~LEG]
下议院 [~LEG]
多数党 [~LEG]
国会议员 [~LEG]
国会议员 [~LEG]
参议院成员 [~LEG]
立法机关成员 [~LEG]
MP [~LEG]
国民大会 [~LEG]
全国委员会 [~LEG]
议会议员 [~LEG]
议会 [~LEG]
国会大厦 [~LEG]
人民大会 [~LEG]
参议院主席 [~LEG]
发布者 [~LEG]
代表理事会 [~LEG]
代表 [~LEG]
代表大会 [~LEG]
右翼联盟 [~LEG]
参议院 [~LEG]
参议院代表团 [~LEG]
共和国参议院 [~LEG]
参议院主席 [~LEG]
参议员 [~LEG]
立法机关发言人 [~LEG]
议会议长 [~LEG]
众议院议长 [~LEG]
州议会 [~LEG]
国家杜马 [~LEG]
上议院 [~LEG]
博客作者 [~MED]
博客 [~MED]
广播公司 [~MED]
广播公司 [~MED]
主编 [~MED]
专栏作家 [~MED]
评论员 [~MED]
通信组织 [~MED]
通讯员 [~MED]
社论家 [~MED]
主编 [~MED]
报纸编辑 [~MED]
电影制片人 [~MED]
外国通讯员 [~MED]
宪报 [~MED]
互联网站点 [~MED]
记者 [~MED]
主要新闻 [~MED]
地方媒体 [~MED]
地方报刊 [~MED]
杂志 [~MED]
杂志编辑 [~MED]
管理编辑 [~MED]
媒体 [~MED]
民族报刊 [~MED]
报人 [~MED]
报纸 [~MED]
报纸主编 [~MED]
报纸编辑 [~MED]
报纸出版商 [~MED]
新闻记者 [~MED]
通讯社 [~MED]
新闻编辑 [~MED]
新闻杂志 [~MED]
新闻机构 [~MED]
新闻机构 [~MED]
新闻插座 [~MED]
新闻台 [~MED]
新闻社 [~MED]
新闻协会 [~MED]
摄影记者 [~MED]
出版 [~MED]
公共广播电台 [~MED]
公共电视 [~MED]
出版商 [~MED]
出版公司 [~MED]
出版公司 [~MED]
出版社 [~MED]
纸浆杂志 [~MED]
无线电台 [~MED]
记者 [~MED]
发言人 [~MED]
小报 [~MED]
电信顾问 [~MED]
电信公司 [~MED]
电信 [~MED]
电视 [~MED]
电视 [~MED]
战地记者 [~MED]
网站 [~MED]
网站 [~MED]
有线服务 [~MED]
作家 [~MED]
A—37 B蜻蜓 [~MIL]
ADM [~MIL]
海军上将 [~MIL]
AH-64 D Apache [~MIL]
AH-64阿帕奇 [~MIL]
副官营 [~MIL]
航空母舰 [~MIL]
飞行员 [~MIL]
空军 [~MIL]
空军司令 [~MIL]
空军总司令 [~MIL]
空军元帅 [~MIL]
空气单元 [~MIL]
导弹 [~MIL]
防空导弹 [~MIL]
反舰导弹 [~MIL]
阿帕奇攻击直升机 [~MIL]
阿帕奇武装直升机 [~MIL]
武装部队 [~MIL]
武装巡逻 [~MIL]
武装部队 [~MIL]
军队 [~MIL]
驻军 [~MIL]
军方 [~MIL]
陆军首领 [~MIL]
陆军参谋长 [~MILGOV]
陆军总参谋长 [~MILGOV]
陆军情报 [~MILSPY]
陆军中尉 [~MIL]
陆军医疗队 [~MILHLH]
陆军国民警卫队 [~MIL]
陆军军官 [~MIL]
陆军巡逻队 [~MIL]
陆军护林员 [~MIL]
陆军预备役 [~MIL]
陆军参谋部 [~MIL]
陆军部队 [~MIL]
陆军副参谋长 [~MIL]
炮兵部队 [~MIL]
火炮系统 [~MIL]
攻击艇 [~MIL]
攻击直升机 [~MIL]
攻击直升机 [~MIL]
B-52 [~MIL]
兵营 [~MIL]
营 [~MIL]
营指挥官 [~MIL]
战舰 [~MIL]
战车 [~MIL]
战斗群 [~MIL]
战斗坦克 [~MIL]
轰炸机 [~MIL]
边防部队 [~MIL]
边境安全 [~MIL]
布里格消息。 [~MIL]
布里格一般 [~MIL]
旅指挥官 [~MIL]
准将 [~MIL]
土匪 [~MIL]
主力舰 [~MIL]
船长 [~MIL]
船长 [~MIL]
载体 [~MIL]
CH-47 F [~MIL]
主任办公室 [~MIL]
陆军参谋长 [~MILGOV]
空军司令 [~MILGOV]
陆军总司令 [~MIL]
CMDR [~MIL]
海岸警卫队 [~MIL]
海岸警卫队巡逻队 [~MIL]
科尔 [~MIL]
上校 [~MIL]
作战飞机 [~MIL]
战斗直升机 [~MIL]
战斗喷气式飞机 [~MIL]
作战飞机 [~MIL]
战斗舰 [~MIL]
战斗训练器 [~MIL]
作战部队 [~MIL]
司令官 [~MIL]
指挥官 [~MIL]
空军总司令 [~MIL]
陆军总司令 [~MIL]
海军总司令 [~MIL]
指挥官 [~MIL]
指挥官 [~MIL]
突击队 [~MIL]
控制力 [~MIL]
下士 [~MIL]
克尔维特 [~MIL]
巡洋舰 [~MIL]
巡航导弹 [~MIL]
COF中的C [~MIL]
C中的 [~MIL]
国防军 [~MIL]
国防服务 [~MIL]
国防服务情报 [~MILSPY]
驱逐舰 [~MIL]
无人飞机 [~MIL]
梯队 [~MIL]
恩斯 [~MIL]
军旗 [~MIL]
欧洲战斗机台风 [~MIL]
F-16 [~MIL]
F-16喷气发动机 [~MIL]
F-22A猛禽 [~MIL]
F-22猛禽 [~MIL]
F- 7mg [~MIL]
F/A－18 [~MIL]
F/A-18E/F超级大黄蜂 [~MIL]
歼-18战斗机 [~MIL]
F/A-18战斗机 [~MIL]
F/A 22战斗机 [~MIL]
F/A22猛禽 [~MIL]
陆军元帅 [~MIL]
战斗机 [~MIL]
歼击机轰炸机 [~MIL]
战斗机轰炸机 [~MIL]
战斗机 [~MIL]
战斗机 [~MIL]
战斗隼 [~MIL]
战斗位置 [~MIL]
上尉 [~MIL]
第一LT. [~MIL]
旗舰军官 [~MIL]
护卫舰 [~MIL]
特别是富尔扎斯 [~MIL]
F 16 [~MIL]
F 16喷气发动机 [~MIL]
驻防 [~MIL]
消息。 [~MIL]
国家宪兵 [~MIL]
女妖怪 [~MIL]
广义主义 [~MIL]
将军 [~MIL]
陆军上将 [~MIL]
政府军 [~MIL]
政府团 [~MIL]
政府士兵 [~MIL]
政府军 [~MIL]
政府军和警察 [~MIL]
地面部队 [~MIL]
地面部队 [~MIL]
保护命令 [~MIL]
护卫舰 [~MIL]
鹞式喷气发动机 [~MIL]
重型机枪 [~MIL]
直升机炮艇 [~MIL]
HMMWV [~MIL]
国内储备 [~MIL]
悍马 [~MIL]
步兵 [~MIL]
喷气式战斗机 [~MIL]
喷气式战斗机 [~MIL]
参谋长联席会议 [~MIL]
参谋长联席会议 [~MIL]
联合攻击战斗机 [~MIL]
初级军官 [~MIL]
军政府军 [~MIL]
军政府士兵 [~MIL]
军政府部队 [~MIL]
军政府军 [~MIL]
克菲尔 [~MIL]
登陆舰 [~MIL]
陆力 [~MIL]
中尉 [~MIL]
中校 [~MIL]
中将 [~MIL]
JG中尉 [~MIL]
初级中尉 [~MIL]
上尉（JG） [~MIL]
轻上校 [~MIL]
书信电报。 [~MIL]
杰克逊爵士 [~MIL]
少校。 [~MIL]
少将 [~MIL]
海军陆战队 [~MIL]
海运公司 [~MIL]
海军陆战队炮兵中士 [~MIL]
军士长 [~MIL]
Mi-24VM/HEN [~MIL]
米格 [~MIL]
米格21PFM [~MIL]
军事 [~MIL]
军事顾问 [~MIL]
军事顾问 [~MIL]
军用飞机 [~MIL]
军事当局 [~MIL]
军事权威 [~MIL]
军事基地 [~MIL]
军团 [~MIL]
军事委员会 [~MIL]
军事代表团 [~MIL]
军事力量 [~MIL]
军事集团 [~MIL]
军事情报 [~MILSPY]
军事情报局 [~MILSPY]
情报机构 [~MILSPY]
军事情报机构 [~MILSPY]
军事情报秘密警察 [~MILSPY]
军事法官 [~MILJUD]
军事司法 [~MILJUD]
军事主导 [~MIL]
军用机器 [~MIL]
军官 [~MIL]
军事官员 [~MIL]
军事行动控制司令部 [~MIL]
军事巡逻 [~MIL]
军事人员 [~MIL]
宪兵 [~MILCOP]
军事存在 [~MIL]
军事代表 [~MIL]
军事预备役 [~MIL]
军方发言人 [~MIL]
军事支援人员 [~MIL]
军用运输机 [~MIL]
军事法庭 [~MILJUD]
MIRAGE-2000 [~MIL]
迫击炮阵地 [~MIL]
MQ-9收割机 [~MIL]
国家陆军支队 [~MIL]
国家陆军特遣部队 [~MIL]
国家宪兵 [~MIL]
国民警卫队 [~MIL]
海军 [~MIL]
海军基地 [~MIL]
海军驱逐舰 [~MIL]
海军军官 [~MIL]
舰艇 [~MIL]
海军部队 [~MIL]
海军 [~MIL]
夜鹰隐形战斗机 [~MIL]
指挥官 [~MIL]
空军总司令办公室 [~MIL]
P 3A猎户座 [~MIL]
P 8A波塞冬 [~MIL]
准军事部队 [~MIL]
准军事部队 [~MIL]
准军事组织 [~MIL]
准军事组织 [~MIL]
准军事警察 [~MILGOV]
准军事单位 [~MIL]
伞兵部队 [~MIL]
指骨 [~MIL]
无人驾驶飞机 [~MIL]
捕食者无人机 [~MIL]
捕食者无人机 [~MIL]
战俘 [~MIL]
私掠船 [~MIL]
收割无人机 [~MIL]
团 [~MIL]
遥控飞机 [~MIL]
遥控无人机 [~MIL]
预备役军官 [~MIL]
预备役军人 [~MIL]
射频4C [~MIL]
飞毛腿导弹 [~MIL]
海员 [~MIL]
少尉 [~MIL]
安全部队 [~MIL]
保安巡逻 [~MIL]
保安人员 [~MIL]
军人 [~MIL]
海岸巡逻队 [~MILCOP]
士兵 [~MIL]
士兵和他们的家人 [~MIL]
士兵及其家属 [~MIL]
带着家人的士兵 [~MIL]
军人 [~MIL]
特种营 [~MIL]
特种部队 [~MIL]
特种作业 [~MIL]
间谍飞机 [~MILSPY]
常备军 [~MIL]
隐形轰炸机 [~MIL]
隐形战斗机 [~MIL]
战略服务 [~MIL]
苏-24 [~MIL]
SU-30MK [~MIL]
陆军中尉 [~MIL]
潜水战舰 [~MIL]
苏霍伊帕克法 [~MIL]
超级大黄蜂 [~MIL]
战术单位 [~MIL]
战术车辆 [~MIL]
战斧巡航导弹 [~MIL]
战斧导弹 [~MIL]
巨魔战斗机 [~MIL]
鱼雷艇 [~MIL]
部队 [~MIL]
无人机 [~MIL]
无人机系统 [~MIL]
无人机 [~MIL]
无人驾驶飞机 [~MIL]
无人驾驶飞机 [~MIL]
无人捕食者 [~MIL]
V-22鱼鹰 [~MIL]
军用飞机 [~MIL]
舰艇 [~MIL]
战争机器 [~MIL]
战舰 [~MIL]
武器储存设施 [~MIL]
周末战士 [~MIL]
极端瓦哈比人 [~MUSRAD]
原教旨主义穆斯林 [~MUSRAD]
强硬的伊斯兰 [~MUS]
伊玛目 [~MUS]
伊斯兰 [~MUS]
伊斯兰教牧师 [~MUS]
伊斯兰理事会 [~MUS]
伊斯兰极端分子 ISLAMIC_EXTREMIST
伊斯兰极端主义组织 [~MUSRAD]
伊斯兰阵线 [~MUSREB]
伊斯兰原教旨主义者 [~MUS]
伊斯兰激进分子 [~MUSUAF]
伊斯兰传教士 [~MUS]
伊斯兰传教士 [~MUS]
伊斯兰主义者 [~MUS]
伊斯兰牧师 [~MUS]
伊斯兰团体 [~MUS]
伊斯兰传教士 [~MUS]
穆斯林 [~MUS]
穆斯林牧师 [~MUS]
穆斯林殖民者 [~MUS]
毛拉 [~MUS]
穆斯林 [~MUS]
穆斯林牧师 [~MUS]
穆斯林医生 [~MUSHLH]
穆斯林极端分子 [~MUSRAD]
穆斯林医院 [~MUSHLH]
穆斯林移民 [~MUS]
穆斯林武装分子 [~MUSUAF]
穆斯林传教士 [~MUS]
穆斯林朝圣者 [~MUS]
穆斯林激进派 [~MUSRAD]
激进伊斯兰主义者 [~MUSRAD]
激进萨拉菲 [~MUSRAD]
萨拉菲圣战分子 [~MUSRAD]
援助小组 [~NGODEV]
市民社会 [~NGO]
非政府组织可能会给人们带来麻烦 [~NGO]非政府组织 [~NGO]
非政府组织 [~NGO]
非政府组织 [~NGO]
非政府组织 [~NGO]
非政府组织 [~NGO]
非政府组织 [~NGO]
活动家 [~OPP]
激动的学生 [~OPPEDU]
反政府活动家 [~OPP]
反政府组织 [~OPP]
反政府政治活动家 [~OPP]
反政府学生 [~OPPEDU]
反政府地下组织 [~OPP]
反政府青年 [~OPPEDU]
反军事活动家 [~OPP]
陆军逃兵 [~OPP]
活动家 [~OPP]
少数党联盟 [~OPP]
反对党联盟 [~OPP]
十字军战士 [~OPP]
网络异议人士 [~OPP]
叛逃者 [~OPP]
民主活动家 [~OPP]
民主反对派领袖 [~OPP]
演示者 [~OPP]
逃兵 [~OPP]
被拘留者 [~OPP]
异议者 [~OPP]
持不同政见者 [~OPP]
持不同政见的学生 [~OPPEDU]
选举联盟 [~OPP]
少数民族政党 [~OPP]
放逐 [~OPP]
流亡政府 [~OPP]
流亡领袖 [~OPP]
流亡反对派 [~OPP]
流亡反对派政治家 [~OPP]
流亡政治家 [~OPP]
流亡总理 [~OPP]
流亡政权 [~OPP]
政府叛逃者 [~OPP]
流亡政府 [~OPP]
人权活动家 [~OPP]
非法流动 [~OPP]
非法政党 [~OPP]
流亡领袖 [~OPP]
主要反对党 [~OPP]
群众反对 [~OPPCVL]
军事叛逃者 [~OPP]
军事逃兵 [~OPP]
反对党议员 [~OPP]
叛变者 [~OPP]
国家叛徒 [~OPP]
海军逃兵 [~OPP]
反对者 [~OPP]
反对派活动家 [~OPP]
反对党联盟 [~OPP]
反对党联盟 [~OPP]
反对派日报 [~OPPMED]
反对派示威者 [~OPP]
反对党编辑 [~OPPMED]
反对党 [~OPP]
反对势力 [~OPPUAF]
反对党记者 [~OPPMED]
反对党领袖 [~OPP]
反对党议员 [~OPP]
反对党议员 [~OPP]
反对党报纸 [~OPPMED]
反对党议会 [~OPP]
反对党 [~OPP]
反对党 [~OPP]
反对党示威者 [~OPP]
反对党 [~OPP]
反对出版商 [~OPPMED]
反对派记者 [~OPPMED]
反对党参议员 [~OPP]
反对党学生领袖 [~OPPEDU]
反对党支持者 [~OPP]
被罢免的外交部长 [~OPP]
罢黜领袖 [~OPP]
罢黜总理 [~OPP]
被罢免的总理 [~OPP]
被取缔的政党 [~OPP]
非法政党 [~OPP]
平行政府 [~OPP]
皮卡特 [~OPP]
政治联盟 [~OPP]
政治被拘留者 [~OPP]
流亡政党 [~OPP]
政治犯 [~OPP]
政治翼 [~OPP]
流亡首相 [~OPP]
民主派 [~OPPDEV]
民主派领袖 [~OPP]
民主运动 [~OPP]
民主政治活动家 [~OPP]
民主派领导人 [~OPP]
抗议者 [~OPP]
抗议学生 [~OPPEDU]
抗议工人 [~OPPLAB]
抗议团体 [~OPP]
抗议领袖 [~OPP]
民主派 [~OPPDEV]
民主派领袖 [~OPP]
民主运动 [~OPP]
民主政治活动家 [~OPP]
民主派领导人 [~OPP]
懦弱的人 [~OPP]
重整器 [~OPP]
改良主义者 [~OPP]
阻力运动 [~OPP]
暴徒 [~OPP]
社会改革者 [~OPP]
反对党发言人 [~OPP]
罢工激进分子 [~OPPLAB]
罢工护士 [~OPPHLH]
学生演示器 [~OPPEDU]
学生持不同政见者 [~OPPEDU]
学生反对 [~OPPEDU]
学生抗议者 [~OPPEDU]
背叛者 [~OPP]
地下反对党 [~OPP]
未指明的反对意见 [~OPP]
青年抗议者 [~OPPEDU]
所谓的武装分子 [~REB]
反政府武装集团 [~REB]
反政府力量 [~REB]
反政府叛乱分子 [~REB]
反军政府恐怖组织 [~REB]
反政府武装集团 [~REB]
反政府力量 [~REB]
反政府叛乱分子 [~REB]
反军恐怖组织 [~REB]
武装持不同政见者 [~REB]
武装叛乱 [~REB]
武装叛乱分子 [~REB]
武装叛乱组织 [~REB]
武装反对集团 [~REB]
武装叛乱 [~REB]
武装叛乱集团 [~REB]
武装部落叛军 [~REB]
佛教反叛者 [~REBBUD]
佛教反叛团体 [~REBBUD]
佛教反叛领袖 [~REBBUD]
基督徒叛逆 [~REBCHR]
基督教反叛组织 [~REBCHR]
基督教叛军领袖 [~REBCHR]
民主党 [~PTY]
持不同政见的士兵 [~REB]
敌军叛乱者 [~REB]
民族叛乱 [~REB]
少数民族叛军 [~REB]
民族叛乱 [~REB]
遗民战士 [~RAD]
极端主义者 [~RAD]
自由战士 [~REB]
游击队 [~REB]
游击队 [~REB]
游击队 [~REB]
游击队 [~REB]
游击队领袖 [~REB]
游击队 [~REB]
游击队 [~REB]
游击队 [~REB]
游击队领导 [~REB]
游击队长 [~REB]
印度教叛乱者 [~REBHIN]
印度教反叛团体 [~REBHIN]
印度教叛军领袖 [~REBHIN]
叛乱 [~REB]
叛乱 [~REB]
叛乱领导人 [~REB]
叛乱运动 [~REB]
叛乱者 [~REB]
叛乱部队 [~REB]
叛乱组织 [~REB]
叛乱分子领导 [~REB]
叛乱领导人 [~REB]
叛乱运动 [~REB]
叛乱组织 [~REB]
叛乱者 [~REB]
伊斯兰叛乱 [~REBMUS]
伊斯兰反叛组织 [~REBMUS]
伊斯兰叛军领袖 [~REBMUS]
左翼政党 [~PTY]
抢劫者 [~REB]
低级叛乱 [~REB]
激进分子运动 [~REB]
战斗翼 [~REB]
穆斯林极端分子 [~REBMUS]
穆斯林叛乱者 [~REBMUS]
穆斯林反叛组织 [~REBMUS]
穆斯林叛军领袖 [~REBMUS]
穆斯林分离主义叛军 [~REBMUS]
全国革命组织 [~REB]
反对势力 [~REB]
党的军事派别 [~REB]
政党联盟 [~PTY]
党魁 [~PTY]
党员 [~PTY]
党主席 [~PTY]
掠夺者 [~REB]
掠夺者 [~REB]
政党 [~PTY]
政党 [~PTY]
政治家 [~PTY]
总统候选人 [~PTY]
激进左派 [~RAD]
掠夺者 [~REB]
反动派 [~RAD]
叛乱 [~REB]
叛逆者 [~REB]
叛军 [~REB]
叛军 [~REB]
叛军基地 [~REB]
叛军指挥官 [~REB]
叛军突击队 [~REB]
叛军代表团 [~REB]
叛军 [~REB]
叛乱组织 [~REB]
叛乱叛乱者 [~REB]
叛军领袖 [~REB]
叛军士兵 [~REB]
叛军来源 [~REB]
叛逆学生 [~REBEDU]
抵抗军 [~REB]
抵抗指挥官 [~REB]
电阻组 [~REB]
抵抗领袖 [~REB]
起义 [~REB]
革命战线 [~REB]
革命运动 [~REB]
什叶派民兵 [~REBMUS]
什叶派民兵 [~REBMUS]
什叶派民兵 [~REBMUS]
什叶派民兵 [~REBMUS]
逊尼派叛乱分子 [~REBMUS]
逊尼派 [~MUS]
学生军 [~REB]
自杀式炸弹袭击者 [~REB]
